Vehicle ID,Year,Make,Model,Class,Drive,Transmission,Engine Cylinders,Engine Displacement,Turbocharger,Supercharger,Fuel Type,Fuel Type 1,Fuel Type 2,City MPG,Highway MPG,Combined MPG,Annual Fuel Cost,Fuel Economy Score,Gasoline/Electricity Blended
38503,2017,Land Rover,Range Rover,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S8),6,3,,S,Premium,Premium Gasoline,,17,23,19,2250,4,FALSE
38504,2017,Land Rover,Range Rover Sport,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S8),6,3,,S,Premium,Premium Gasoline,,17,23,19,2250,4,FALSE
38505,2017,Ford,Focus Electric,Compact Cars,Front-Wheel Drive,Automatic (A1),,,,,Electricity,Electricity,,118,96,107,600,10,FALSE
38506,2017,Ford,C-MAX Energi Plug-In Hybrid,Midsize Cars,Front-Wheel Drive,Automatic (variable gear ratios),4,2,,,Regular Gas and Electricity,Regular Gasoline,Electricity,41,38,39,900,10,TRUE
38507,2017,Ford,GT,Two Seaters,Rear-Wheel Drive,Auto(AM7),6,3.5,T,,Premium,Premium Gasoline,,11,18,14,3000,1,FALSE
38508,2017,Toyota,Prius c,Compact Cars,Front-Wheel Drive,Automatic (variable gear ratios),4,1.5,,,Regular,Regular Gasoline,,48,43,46,750,10,FALSE
38509,2017,Honda,Odyssey,Minivan - 2WD,Front-Wheel Drive,Automatic 6-Speed,6,3.5,,,Regular,Regular Gasoline,,19,27,22,1600,5,FALSE
38510,2017,Nissan,Rogue Hybrid  FWD,Small Sport Utility Vehicle 2WD,Front-Wheel Drive,Auto(AV-S7),4,2,,,Regular,Regular Gasoline,,33,35,34,1050,8,FALSE
38511,2017,Nissan,Rogue Hybrid  AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Auto(AV-S7),4,2,,,Regular,Regular Gasoline,,31,34,33,1050,8,FALSE
38512,2017,Toyota,4Runner 2WD,Standard Sport Utility Vehicle 2WD,Rear-Wheel Drive,Automatic (S5),6,4,,,Regular,Regular Gasoline,,17,21,18,1950,3,FALSE
38513,2017,Toyota,4Runner 4WD,Standard Sport Utility Vehicle 4WD,Part-time 4-Wheel Drive,Automatic (S5),6,4,,,Regular,Regular Gasoline,,17,20,18,1950,3,FALSE
38514,2017,Toyota,4Runner 4WD,Standard Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S5),6,4,,,Regular,Regular Gasoline,,17,20,18,1950,3,FALSE
38515,2017,Alfa Romeo,Giulia,Midsize Cars,Rear-Wheel Drive,Automatic 8-Speed,4,2,T,,Premium,Premium Gasoline,,24,33,27,1550,6,FALSE
38516,2017,Alfa Romeo,Giulia AWD,Midsize Cars,All-Wheel Drive,Automatic 8-Speed,4,2,T,,Premium,Premium Gasoline,,23,31,26,1650,6,FALSE
38517,2017,Nissan,Sentra Nismo,Midsize Cars,Front-Wheel Drive,Manual 6-Speed,4,1.6,T,,Premium,Premium Gasoline,,25,31,27,1550,6,FALSE
38518,2017,Nissan,Sentra Nismo,Midsize Cars,Front-Wheel Drive,Auto(AV-S7),4,1.6,T,,Premium,Premium Gasoline,,25,30,27,1550,6,FALSE
38519,2017,Land Rover,Range Rover,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S8),6,3,T,,Diesel,Diesel,,22,28,24,1600,5,FALSE
38520,2017,Land Rover,Range Rover Sport,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S8),6,3,T,,Diesel,Diesel,,22,28,24,1600,5,FALSE
38521,2017,Volkswagen,Golf Alltrack,Small Station Wagons,All-Wheel Drive,Manual 6-Speed,4,1.8,T,,Regular,Regular Gasoline,,22,32,26,1350,6,FALSE
38522,2017,Volkswagen,Golf SportWagen 4motion,Small Station Wagons,All-Wheel Drive,Manual 6-Speed,4,1.8,T,,Regular,Regular Gasoline,,22,32,26,1350,6,FALSE
38523,2017,Tesla,Model S AWD - 60D,Large Cars,All-Wheel Drive,Automatic (A1),,,,,Electricity,Electricity,,101,107,104,600,10,FALSE
